,lettr,xbox,ybox,width,high,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybr,xy2br,xege,xegvy,yege,yegvx,label
4773,B,6,10,9,7,7,8,7,5,6,9,5,6,3,7,7,10,1
4774,R,6,11,6,6,5,7,8,3,6,8,3,8,6,6,6,7,0
4775,Z,2,2,3,3,2,7,7,5,9,6,6,8,1,8,7,8,0
4776,C,4,9,5,7,4,6,8,6,8,7,6,13,1,8,4,9,1
4777,Z,8,14,8,8,5,7,7,2,9,11,7,9,4,7,7,5,0
4778,M,7,11,10,8,13,11,5,3,3,9,4,8,11,8,4,8,1
4779,H,5,7,7,5,4,5,8,4,6,10,9,9,3,8,3,7,1
4780,T,5,10,7,8,6,6,7,7,7,8,9,8,4,9,7,7,0
4781,T,8,14,7,8,4,5,11,2,7,12,8,6,3,8,5,3,0
4782,G,2,4,3,3,2,6,7,5,5,9,7,10,2,9,4,9,1
4783,O,1,0,2,1,0,8,7,7,4,7,6,8,2,8,3,8,0
4784,H,3,4,6,3,3,7,7,3,6,10,6,8,3,8,3,7,1
4785,P,3,5,4,8,7,8,7,5,1,7,6,7,6,9,5,9,0
4786,K,7,9,9,7,7,6,7,1,7,9,6,10,4,8,4,8,1
4787,Q,6,8,6,9,6,8,7,7,4,8,7,10,3,8,6,8,0
4788,X,4,6,5,5,5,7,9,2,6,8,6,8,3,6,6,7,0
4789,Z,4,6,6,9,4,12,3,3,6,10,2,8,1,7,5,11,0
4790,L,4,8,5,6,2,3,1,7,9,0,1,3,0,7,1,5,1
4791,X,9,13,10,7,5,7,7,2,9,11,5,8,4,7,4,7,0
4792,Q,6,11,6,6,4,11,3,4,5,12,3,9,3,9,7,12,0
4793,W,4,5,6,3,4,6,11,2,2,7,9,8,8,11,1,8,0
4794,J,3,6,4,4,2,6,8,2,5,14,7,9,1,6,0,7,1
4795,A,2,3,3,1,1,8,2,2,1,7,2,8,2,7,2,7,1
4796,P,1,0,2,0,0,5,11,7,1,9,6,4,1,9,3,8,0
4797,M,2,3,4,1,2,5,6,3,4,10,10,10,4,7,1,7,1
4798,T,4,11,6,8,2,8,15,1,6,7,11,8,0,8,0,8,0
4799,F,3,2,4,3,2,6,10,4,5,10,9,4,2,10,3,6,1
4800,Y,9,15,8,8,5,5,7,4,3,9,9,6,4,9,4,4,0
4801,J,2,6,2,4,1,13,2,8,4,13,4,12,0,7,0,8,1
4802,P,4,8,6,6,4,9,7,2,5,13,4,5,1,10,3,10,0
4803,D,5,5,5,7,3,6,7,10,10,7,7,6,3,8,4,8,1
4804,M,5,7,7,6,8,5,7,5,4,6,5,8,11,7,5,9,1
4805,F,3,4,5,3,2,6,10,3,6,13,7,5,1,10,2,7,1
4806,W,3,1,5,3,3,7,11,3,2,6,9,8,7,11,0,8,0
4807,U,3,3,4,2,2,6,8,5,7,6,9,9,3,10,1,7,0
4808,J,4,8,6,6,2,9,6,2,8,15,4,8,0,7,0,8,1
4809,P,5,5,7,7,8,8,7,4,2,7,8,7,7,12,5,7,0
4810,Z,5,10,6,8,3,7,7,4,15,9,6,8,0,8,8,8,0
4811,C,5,9,6,7,7,5,6,3,4,7,6,11,6,9,3,8,1
4812,E,3,2,4,3,3,7,7,5,8,7,5,8,2,8,6,9,1
4813,K,4,7,5,5,4,6,6,1,6,10,7,10,3,8,3,8,1
4814,U,5,11,7,8,5,4,9,6,7,9,11,10,3,9,1,8,0
4815,B,7,11,7,6,5,9,7,3,5,10,5,7,6,7,7,8,1
4816,X,3,4,4,6,1,7,7,4,4,7,6,8,3,8,4,8,0
4817,Z,4,11,4,9,4,6,8,6,10,7,7,9,2,9,8,8,0
4818,O,2,3,3,2,1,7,7,7,4,7,6,8,2,8,2,8,0
4819,X,5,5,6,7,2,7,7,5,4,7,6,8,3,8,4,8,0
4820,R,5,10,6,8,7,8,5,7,3,8,6,8,6,5,6,10,0
4821,Y,2,3,4,4,1,8,10,2,2,6,13,8,2,11,0,8,0
4822,I,3,10,4,8,3,7,9,0,7,13,6,7,0,9,2,7,1
4823,V,5,11,7,8,9,8,5,5,2,8,7,8,6,8,5,8,0
4824,J,5,11,7,8,8,9,7,4,4,8,4,6,4,7,6,4,1
4825,C,5,10,5,7,3,3,8,5,7,11,10,13,1,9,3,8,1
4826,N,3,5,4,7,3,7,7,14,2,5,6,8,6,8,0,8,0
4827,P,3,8,4,5,2,5,10,10,4,8,6,5,2,10,4,8,0
4828,O,2,5,3,3,2,7,7,8,4,7,6,8,2,8,3,8,0
4829,O,3,7,4,5,3,7,8,7,4,8,7,10,3,8,3,9,0
4830,A,2,6,4,4,2,11,3,3,2,10,1,9,2,6,2,8,1
4831,R,3,6,4,4,4,7,8,4,6,6,5,7,3,7,5,8,0
4832,W,4,2,6,4,4,8,11,2,2,6,9,8,9,13,1,7,0
4833,D,4,6,5,4,3,8,8,7,8,9,5,3,3,8,4,6,1
4834,T,3,8,4,6,2,8,14,0,5,6,10,8,0,8,0,8,0
4835,N,1,0,2,1,1,7,7,11,1,5,6,8,4,8,0,8,0
4836,H,4,8,6,10,7,9,10,3,1,8,7,6,3,10,8,7,1
4837,D,3,7,5,5,4,8,7,3,5,10,5,6,3,8,3,8,1
4838,R,5,9,7,7,6,10,6,3,5,10,3,7,4,6,4,10,0
4839,B,7,10,6,6,4,8,5,4,5,10,6,9,5,7,7,10,1
4840,A,5,8,8,7,7,7,7,2,5,7,9,10,5,11,3,7,1
4841,A,2,1,3,1,1,7,4,2,0,7,1,8,3,6,1,8,1
4842,T,4,10,5,8,4,5,12,4,7,9,12,7,2,12,1,7,0
4843,O,9,13,6,7,4,5,8,6,4,10,8,9,5,10,5,8,0
4844,J,5,8,6,6,3,8,8,1,6,14,5,7,1,6,1,8,1
4845,Y,4,4,6,6,6,9,10,5,4,6,7,7,5,10,7,5,0
4846,L,6,15,6,8,4,7,5,3,5,11,7,11,3,8,6,9,1
4847,Q,4,6,5,7,5,8,5,7,3,6,5,9,3,8,5,9,0
4848,B,5,7,7,5,6,7,9,4,6,10,6,6,3,7,6,8,1
4849,R,5,8,7,7,7,7,8,3,3,7,5,7,6,8,6,6,0
4850,E,4,8,4,6,2,3,6,6,11,7,7,15,0,8,7,7,1
4851,M,7,10,10,8,6,10,5,2,5,9,4,7,8,6,2,9,1
4852,Q,4,9,5,10,5,7,7,6,3,8,9,10,3,8,7,9,0
4853,U,4,5,4,8,2,7,4,15,6,7,12,8,3,9,0,8,0
4854,E,6,9,8,8,8,7,9,5,6,6,8,11,8,9,9,8,1
4855,N,4,6,6,4,5,4,10,2,4,8,7,9,6,7,4,5,0
4856,G,5,8,6,6,3,7,7,7,8,10,6,11,2,10,4,9,1
4857,D,2,4,4,3,2,9,7,4,6,10,4,6,2,8,3,8,1
4858,U,8,9,9,7,4,3,8,6,8,10,11,10,3,9,2,5,0
4859,A,5,11,9,8,7,10,5,1,5,9,1,5,3,7,4,8,1
4860,P,4,10,5,8,5,4,10,4,5,11,9,5,1,10,3,7,0
4861,L,5,11,6,8,5,3,4,3,8,2,0,8,0,7,1,5,1
4862,P,4,11,5,8,3,4,12,9,2,10,6,4,1,10,4,8,0
4863,L,2,2,3,4,2,4,4,5,7,2,2,5,1,6,1,6,1
4864,B,3,6,5,4,4,7,8,4,5,9,6,5,2,8,6,6,1
4865,E,3,4,4,6,2,3,8,6,10,7,6,14,0,8,7,7,1
4866,C,3,8,4,6,3,6,8,6,5,9,8,14,1,9,3,11,1
4867,H,4,5,6,3,3,8,8,3,6,10,6,8,3,8,3,8,1
4868,L,3,7,3,5,1,0,1,6,6,0,1,6,0,8,0,8,1
4869,T,5,7,7,6,6,5,8,3,8,7,7,9,3,7,7,5,0
4870,O,2,2,3,3,2,7,7,7,4,7,6,8,2,8,3,8,0
4871,D,7,11,6,6,5,8,8,4,7,10,5,6,6,6,7,6,1
4872,K,4,6,6,4,4,3,8,2,6,10,10,11,3,8,3,6,1
4873,B,3,2,4,3,3,7,7,5,6,6,6,6,2,8,7,10,1
4874,F,2,1,2,2,1,5,11,3,5,11,9,5,1,10,3,6,1
4875,Y,7,8,6,11,5,7,6,5,5,6,11,6,4,11,3,7,0
4876,R,8,10,6,6,4,6,8,5,5,9,6,9,7,5,7,11,0
4877,Y,7,9,7,7,4,3,10,2,7,11,11,6,1,11,2,5,0
4878,K,5,9,7,7,7,6,6,3,7,6,6,9,7,8,5,9,1
4879,M,3,3,5,2,3,8,6,6,4,7,7,8,7,5,2,7,1
4880,Y,3,8,5,5,1,7,10,3,2,7,13,8,2,11,0,8,0
4881,G,3,5,4,7,2,7,7,8,7,5,6,10,2,7,5,11,1
4882,K,5,4,5,6,2,4,8,9,1,7,6,11,3,8,3,11,1
4883,J,1,3,2,2,1,8,5,4,4,13,7,12,1,7,0,8,1
4884,X,4,11,6,8,4,7,7,4,9,6,6,8,3,8,7,7,0
4885,W,6,10,6,8,6,1,10,2,3,10,10,9,6,10,1,7,0
4886,A,4,9,6,6,2,8,4,3,1,7,1,8,3,7,2,8,1
4887,V,9,15,8,8,4,5,10,4,4,9,9,6,4,11,2,8,0
4888,H,3,1,4,2,3,7,7,6,6,7,6,8,3,8,4,8,1
4889,I,7,14,6,8,4,8,9,3,7,14,4,5,2,8,5,9,1
4890,B,3,5,5,4,4,8,8,3,6,10,5,5,3,7,6,9,1
4891,D,4,8,6,6,4,8,8,6,7,9,5,4,3,7,4,9,1
4892,M,6,11,9,9,10,9,7,5,5,6,7,6,10,9,3,6,1
4893,G,3,5,4,4,2,6,7,6,7,7,5,10,2,9,4,9,1
4894,H,2,1,3,2,2,8,7,6,5,7,6,8,3,8,3,8,1
4895,D,2,3,3,2,2,9,6,4,6,10,5,6,2,8,2,8,1
4896,G,3,4,5,7,2,8,7,9,7,5,6,10,2,7,5,10,1
4897,M,3,8,4,6,3,7,7,11,1,7,9,8,8,5,0,8,1
4898,G,6,11,8,9,9,9,7,5,2,6,6,10,8,8,5,10,1
4899,A,2,8,4,6,3,11,3,3,3,10,2,9,2,6,3,8,1
4900,O,5,9,6,6,3,7,7,8,8,7,6,8,3,8,4,8,0
4901,Y,3,5,4,6,5,8,10,6,4,7,7,6,4,10,6,3,0
4902,D,2,5,3,3,3,7,7,6,6,7,6,5,2,8,2,7,1
4903,J,6,11,5,8,4,5,13,3,3,13,6,4,2,8,6,6,1
4904,C,2,5,3,4,2,6,8,7,7,9,8,13,1,9,4,10,1
4905,M,4,10,5,8,6,7,5,11,1,7,9,8,9,5,2,8,1
4906,T,3,4,5,6,1,7,15,1,6,7,11,8,0,8,0,8,0
4907,L,5,11,7,8,4,7,3,2,8,7,2,8,1,6,3,7,1
4908,J,1,6,2,4,1,10,6,1,7,11,3,7,0,7,1,7,1
4909,D,4,9,5,6,8,8,10,5,4,8,6,5,6,10,9,6,1
4910,Z,5,7,7,5,6,9,5,5,4,7,5,7,3,7,10,5,0
4911,R,4,6,5,4,5,8,7,6,3,8,5,7,4,7,7,10,0
4912,V,5,10,5,7,4,4,11,1,2,8,10,7,3,10,1,8,0
4913,H,5,8,7,6,7,8,7,6,7,7,6,7,3,8,4,7,1
4914,K,9,14,9,8,6,3,8,4,6,10,11,12,5,8,4,6,1
4915,O,6,11,9,8,11,8,6,6,1,7,6,8,11,8,6,8,0
4916,M,7,9,9,7,7,6,6,3,5,10,9,9,10,7,3,8,1
4917,R,4,4,5,6,3,5,13,8,4,8,3,9,3,7,7,11,0
4918,X,5,10,6,8,4,7,7,4,4,7,6,7,3,8,4,8,0
4919,O,9,15,6,9,5,4,8,6,4,10,8,9,5,10,5,8,0
4920,L,5,7,6,5,4,6,6,7,7,5,6,10,2,8,4,10,1
4921,Z,4,7,6,5,4,9,6,2,8,11,4,10,2,7,6,10,0
4922,F,4,7,6,5,4,5,11,3,5,13,7,5,1,10,2,7,1
4923,Q,5,5,7,4,5,8,5,5,4,7,4,10,5,6,6,8,0
4924,C,8,12,6,6,5,7,7,4,4,9,8,10,4,9,8,10,1
4925,G,3,7,4,5,3,6,5,5,6,6,6,9,2,9,3,7,1
4926,V,4,5,6,3,2,4,12,3,3,10,11,7,2,10,1,8,0
4927,I,6,9,8,7,4,6,7,2,7,7,6,11,0,8,4,8,1
4928,C,4,5,6,8,2,6,8,7,10,5,7,13,1,7,4,9,1
4929,D,4,8,5,6,4,7,6,7,8,6,5,5,3,8,3,7,1
4930,X,5,11,6,8,2,7,7,5,4,7,6,8,3,8,4,8,0
4931,E,5,11,5,8,3,3,7,6,11,7,6,14,0,8,8,7,1
4932,E,1,1,2,2,1,4,7,5,8,7,6,13,0,8,7,9,1
4933,S,4,10,5,7,5,8,9,8,6,7,4,6,2,6,9,8,0
4934,V,5,9,7,7,3,9,12,3,4,4,11,9,3,10,1,8,0
4935,D,2,6,4,4,3,9,6,4,6,10,4,6,3,8,3,8,1
4936,L,4,10,4,8,1,0,1,5,6,0,0,6,0,8,0,8,1
4937,D,3,8,5,6,7,9,8,4,5,7,6,6,5,6,8,6,1
4938,U,3,5,5,5,4,8,7,4,4,6,7,7,4,8,1,6,0
4939,I,2,6,3,4,1,7,7,0,7,13,6,8,0,8,1,8,1
4940,V,6,7,8,6,9,8,6,5,5,7,6,8,8,10,7,4,0
4941,F,8,14,7,8,5,10,6,3,5,10,4,6,4,8,7,10,1
4942,M,5,7,8,5,7,8,7,2,4,9,6,7,7,5,2,7,1
4943,I,4,10,6,8,4,7,7,0,8,13,6,8,0,8,1,8,1
4944,W,4,5,5,4,3,4,10,3,2,9,9,7,6,11,1,6,0
4945,I,4,5,5,6,5,7,10,4,5,8,7,8,4,7,6,6,1
4946,H,8,10,8,5,5,8,7,3,5,10,5,7,6,9,4,8,1
4947,A,4,10,6,7,2,7,5,3,1,7,0,8,3,7,2,8,1
4948,N,6,8,9,7,9,6,7,4,4,6,5,8,8,9,5,8,0
4949,P,6,9,9,7,4,7,10,2,7,14,5,3,3,8,4,8,0
4950,V,4,5,6,8,2,7,8,4,3,7,14,8,3,9,0,8,0
4951,R,7,9,10,8,11,7,7,4,4,7,5,8,7,8,6,6,0
4952,R,4,8,5,6,5,8,8,7,5,8,5,7,7,8,6,11,0
4953,I,4,11,6,8,3,7,7,0,8,14,6,8,0,8,1,8,1
4954,E,3,5,5,4,3,8,7,2,7,11,5,8,2,9,5,10,1
4955,F,5,9,5,6,2,1,12,5,6,12,11,9,0,8,2,6,1
4956,G,4,5,5,4,3,6,7,5,5,9,8,9,2,8,5,9,1
4957,O,5,9,6,7,5,8,6,8,6,7,5,8,3,8,4,7,0
4958,A,4,8,6,6,6,8,8,7,4,6,6,8,3,7,7,4,1
4959,S,4,8,4,6,4,8,8,5,7,5,5,7,0,8,8,8,0
4960,J,2,5,3,8,1,12,3,10,3,13,6,13,1,6,0,8,1
4961,E,3,2,3,3,3,7,7,5,7,7,6,9,2,8,5,10,1
4962,Q,6,14,5,8,5,9,6,4,6,11,5,7,4,8,9,10,0
4963,F,3,8,4,6,3,3,12,4,5,12,10,5,1,10,3,5,1
4964,X,4,8,6,6,4,8,7,1,8,10,4,7,3,8,3,8,0
4965,X,3,3,4,4,1,7,7,4,4,7,6,8,3,8,4,8,0
4966,G,5,9,4,4,3,7,8,3,3,8,6,6,3,9,8,7,1
4967,U,3,5,4,3,2,6,8,6,7,7,10,9,3,9,0,8,0
4968,Z,2,7,4,5,3,8,7,2,6,7,6,7,0,9,8,8,0
4969,U,6,8,7,6,3,3,9,6,7,11,11,9,3,9,1,6,0
4970,Q,4,7,5,8,5,8,6,7,5,9,6,9,3,8,5,7,0
4971,V,3,5,5,4,2,4,12,3,3,9,11,7,2,10,1,8,0
4972,K,3,4,4,3,2,5,7,4,7,7,6,11,3,8,5,9,1
4973,U,5,9,7,6,9,7,6,4,4,7,7,8,10,8,6,6,0
4974,C,6,10,6,8,4,5,8,6,8,12,9,13,2,9,4,7,1
4975,N,4,7,4,5,3,8,7,12,1,6,6,8,5,8,0,9,0
4976,H,4,4,6,3,3,7,6,3,6,10,5,9,4,6,4,7,1
4977,Y,6,10,6,5,3,6,8,4,3,10,8,5,3,10,4,4,0
4978,G,2,1,4,2,2,7,7,6,6,6,6,10,2,9,4,9,1
4979,T,4,6,6,6,5,5,8,4,8,8,8,9,3,9,7,6,0
4980,B,5,9,8,7,7,9,7,3,7,11,4,7,3,7,5,9,1
4981,B,3,5,6,4,4,9,6,3,6,10,5,7,2,8,5,9,1
4982,V,5,9,5,7,4,3,11,2,3,9,11,8,3,12,1,7,0
4983,Z,4,8,5,6,2,7,7,4,14,9,6,8,0,8,8,8,0
4984,X,3,9,5,6,4,7,7,3,8,5,6,8,2,8,6,7,0
4985,S,7,11,8,8,6,6,7,3,6,10,7,8,3,7,5,6,0
4986,V,7,9,6,7,3,4,11,3,4,9,11,7,3,10,1,7,0
4987,R,5,9,6,6,7,8,8,7,3,8,4,6,5,7,8,9,0
4988,U,2,1,3,2,1,6,8,6,6,6,9,9,3,9,0,8,0
4989,J,4,8,3,12,3,9,7,3,3,11,5,5,3,8,6,10,1
4990,Q,5,9,6,11,6,8,6,7,4,9,7,10,3,8,6,8,0
4991,V,11,14,8,8,4,9,10,6,5,6,10,6,6,13,3,6,0
4992,S,4,6,5,4,3,8,7,3,6,10,6,8,2,9,5,8,0
4993,S,3,8,4,6,2,7,7,6,9,5,7,10,0,8,9,8,0
4994,C,6,11,5,6,3,7,8,4,3,8,8,10,4,8,7,11,1
4995,Q,4,6,6,8,8,9,9,5,0,6,7,10,6,12,5,10,0
4996,H,1,0,1,0,0,7,7,10,2,7,6,8,2,8,0,8,1
4997,M,5,11,7,8,9,8,9,7,4,7,7,8,8,8,9,5,1
4998,V,3,7,4,5,2,8,9,3,1,7,12,8,2,10,0,8,0
4999,S,5,11,6,8,5,7,8,3,7,10,4,6,2,6,5,8,0
5000,E,4,10,4,8,4,3,8,5,9,7,6,14,0,8,6,8,1
5001,G,5,11,5,8,4,5,6,7,6,7,7,11,3,7,5,8,1
5002,T,2,1,3,2,0,7,15,1,4,7,11,8,0,8,0,8,0
5003,F,4,9,4,6,2,1,14,5,3,12,9,5,0,8,2,6,1
5004,J,5,11,7,8,4,8,6,3,6,15,4,9,0,7,0,7,1
5005,P,4,9,5,6,4,5,11,8,2,9,5,4,1,10,3,7,0
5006,D,3,7,5,5,3,10,6,4,7,10,3,6,3,8,3,9,1
5007,L,3,3,4,5,1,1,0,6,6,0,1,5,0,8,0,8,1
5008,G,5,10,6,7,5,6,6,6,6,10,7,13,3,9,5,9,1
5009,Q,2,2,3,3,2,8,7,6,3,6,6,9,2,9,3,10,0
5010,L,5,10,5,8,3,0,1,5,6,0,0,7,0,8,0,8,1
5011,T,6,9,6,7,3,4,14,5,6,12,9,3,1,11,2,4,0
5012,F,1,3,3,1,1,6,10,3,4,13,7,5,1,9,1,7,1
5013,N,5,7,7,5,4,4,10,3,4,10,10,9,5,8,1,8,0
5014,X,2,3,4,2,2,8,7,1,7,10,5,8,2,8,2,8,0
5015,I,0,3,0,2,0,7,7,1,7,7,6,8,0,8,2,8,1
5016,C,4,9,3,4,2,6,8,4,3,9,8,10,3,9,8,9,1
5017,L,4,10,6,7,4,8,4,0,8,10,3,10,0,7,3,9,1
5018,A,3,7,6,5,3,11,2,3,2,10,2,9,2,6,3,9,1
5019,T,2,8,3,5,1,8,13,0,6,6,11,8,0,8,0,8,0
5020,N,4,7,6,5,4,5,9,3,4,10,9,8,5,8,1,8,0
5021,V,3,1,5,3,1,7,12,2,3,7,11,9,2,10,1,8,0
5022,L,2,3,2,2,1,4,3,4,8,2,2,5,0,7,1,6,1
5023,H,5,9,8,7,7,5,9,3,6,10,9,9,3,9,4,6,1
5024,X,8,12,9,6,5,8,7,2,7,11,4,7,5,10,4,8,0
5025,S,4,8,5,6,5,8,6,7,5,6,8,9,3,9,9,8,0
5026,Z,3,7,4,5,3,6,8,5,9,7,7,9,1,9,7,7,0
5027,Y,5,8,7,11,11,8,8,4,2,7,8,9,4,11,8,8,0
5028,Y,2,2,3,3,1,7,10,1,6,7,11,9,1,11,1,8,0
5029,K,6,11,9,8,7,7,7,4,7,6,5,8,7,8,5,9,1
5030,E,3,3,3,4,2,3,7,6,10,7,6,14,0,8,7,7,1
5031,F,3,5,5,3,2,6,12,3,5,13,7,4,1,10,2,6,1
5032,K,5,9,7,7,9,8,7,3,4,6,7,8,10,8,8,7,1
5033,H,3,7,3,4,2,7,9,14,3,7,3,8,3,8,0,8,1
5034,O,3,6,5,4,3,8,8,8,4,7,6,7,3,8,3,8,0
5035,R,5,10,8,8,9,6,7,3,4,7,6,9,8,10,8,5,0
5036,C,2,5,3,3,2,6,8,7,7,8,8,13,1,9,4,10,1
5037,H,7,10,10,8,6,8,7,3,7,10,5,8,3,8,3,8,1
5038,X,6,9,8,8,9,6,8,2,5,7,7,10,4,5,8,7,0
5039,E,4,10,5,8,7,8,7,3,5,6,7,10,4,9,8,8,1
5040,A,3,6,5,8,2,7,5,3,1,7,0,8,3,7,2,8,1
5041,Z,3,5,5,4,3,7,8,2,9,12,6,8,1,9,5,7,0
5042,Y,5,7,6,5,3,4,9,1,8,10,10,6,1,10,3,4,0
5043,A,2,1,4,2,1,7,2,2,1,6,2,8,2,7,2,7,1
5044,A,3,9,6,6,4,11,3,1,2,8,2,9,2,6,2,7,1
5045,J,2,7,4,5,2,7,8,2,5,14,5,7,0,6,1,7,1
5046,C,4,5,5,3,2,4,8,4,8,11,9,12,1,9,3,7,1
5047,Q,6,8,6,9,6,7,7,7,4,9,9,9,4,8,7,9,0
5048,F,5,8,7,6,4,8,9,3,6,13,5,5,2,9,2,7,1
5049,U,5,10,6,8,4,3,9,5,7,11,10,9,3,9,2,7,0
5050,S,5,11,6,8,6,8,8,7,5,7,5,7,2,8,9,8,0
5051,E,3,9,4,6,4,3,8,5,9,7,7,14,0,8,6,9,1
5052,I,1,3,1,1,1,7,7,2,7,7,6,8,0,8,2,8,1
5053,E,4,9,6,7,5,7,7,2,7,11,7,9,3,8,4,8,1
5054,F,3,5,4,4,3,5,10,3,5,10,9,5,1,10,3,6,1
5055,U,3,2,4,4,2,6,8,6,6,7,9,9,3,9,1,8,0
5056,O,2,2,3,3,2,7,7,7,4,7,6,8,2,8,3,8,0
5057,H,10,12,9,7,5,7,7,5,5,8,9,8,7,11,5,9,1
5058,X,2,1,3,2,2,7,7,3,9,6,6,8,2,8,5,8,0
5059,Q,3,5,4,6,4,8,7,5,2,8,7,10,3,9,5,8,0
5060,L,4,9,5,7,3,3,4,3,9,2,0,7,0,7,1,5,1
5061,N,5,9,7,6,4,6,9,6,5,8,7,8,5,8,1,7,0
5062,S,4,10,5,8,5,8,9,8,6,7,4,5,2,6,8,8,0
5063,T,4,8,5,6,3,7,11,3,8,11,9,4,2,11,3,5,0
5064,E,5,9,8,7,8,6,7,3,7,5,6,11,4,10,11,8,1
5065,T,2,7,4,5,2,6,12,3,7,8,11,7,1,11,1,7,0
5066,J,2,7,2,5,1,12,2,9,4,13,5,12,1,6,0,8,1
5067,L,1,3,2,1,0,6,4,1,7,8,2,10,0,7,2,9,1
5068,X,5,10,6,7,2,7,7,5,4,7,6,8,3,8,4,8,0
5069,O,4,6,5,5,4,8,5,4,4,9,4,10,3,7,5,7,0
5070,P,3,5,5,7,6,8,11,3,1,8,8,6,6,10,4,6,0
5071,U,4,9,5,7,2,7,5,15,5,7,13,8,3,9,0,8,0
5072,U,7,11,9,8,8,7,6,9,6,7,6,9,6,8,7,2,0
5073,N,4,6,6,4,3,7,8,3,5,10,6,7,5,8,1,7,0
5074,Y,9,12,8,6,5,7,5,4,5,9,9,5,4,10,4,5,0
5075,M,4,2,5,4,4,8,6,6,4,6,7,8,8,6,2,7,1
5076,P,3,10,4,8,4,4,12,7,2,10,7,4,1,10,3,8,0
5077,A,2,3,4,2,1,6,2,2,2,5,2,8,2,6,2,6,1
5078,K,3,7,5,5,6,8,6,3,4,6,6,8,6,8,6,8,1
5079,S,3,4,5,3,2,9,6,3,8,11,4,7,1,9,4,9,0
5080,G,4,7,5,5,2,8,6,7,7,6,6,9,2,8,6,11,1
5081,B,4,10,5,7,4,6,8,9,7,7,5,7,2,8,9,9,1
5082,U,4,4,5,6,2,7,4,14,5,7,14,8,3,9,0,8,0
5083,Q,4,9,6,7,6,8,5,7,4,6,6,8,3,7,5,9,0
5084,Z,5,6,4,9,3,6,9,5,3,12,7,7,2,9,10,6,0
5085,N,6,9,8,7,4,6,8,3,4,10,8,8,5,8,1,7,0
5086,R,5,5,6,8,4,6,9,10,5,6,5,8,3,8,6,11,0
5087,V,2,3,3,2,1,7,12,2,2,6,10,9,2,11,0,8,0
5088,M,5,9,5,6,6,7,5,11,0,7,8,8,7,5,1,9,1
5089,L,3,4,4,6,1,0,0,6,6,0,1,5,0,8,0,8,1
5090,N,4,5,4,3,3,7,8,5,5,7,7,6,6,9,3,6,0
5091,E,4,9,6,7,5,9,6,2,7,11,5,9,3,7,6,10,1
5092,J,4,6,5,4,2,8,6,4,7,15,6,10,1,6,1,7,1
5093,V,4,11,5,8,4,6,9,4,1,8,12,8,3,9,1,8,0
5094,A,2,7,4,4,1,8,5,3,1,7,0,8,2,7,2,8,1
5095,P,1,1,2,1,1,5,11,7,2,10,6,4,1,9,3,8,0
5096,Y,9,11,9,8,6,5,8,0,9,8,9,5,4,13,7,3,0
5097,L,4,5,5,4,2,4,4,5,8,2,2,5,1,6,1,5,1
5098,Q,7,8,7,10,7,8,5,7,5,9,6,9,3,8,6,7,0
5099,U,5,11,5,8,4,7,5,12,4,7,13,8,3,9,0,7,0
5100,D,4,9,5,7,3,5,7,10,9,6,5,5,3,8,4,8,1
5101,B,4,11,5,8,4,6,8,9,8,7,5,7,3,8,9,10,1
5102,N,3,6,3,4,3,8,7,11,1,6,6,8,5,9,0,6,0
5103,L,4,9,5,8,6,7,6,5,4,7,7,8,2,9,7,10,1
5104,U,5,9,5,6,2,8,4,14,6,7,14,8,3,9,0,8,0
5105,V,4,10,5,8,3,6,9,4,1,8,12,8,4,9,1,8,0
5106,P,6,11,9,8,7,9,8,2,5,13,5,5,3,9,4,9,0
5107,E,6,8,8,6,6,7,7,2,8,11,5,9,3,8,4,9,1
5108,A,4,8,5,6,3,7,5,2,0,7,1,8,2,7,1,8,1
5109,Y,7,9,7,6,3,4,10,2,8,10,11,5,2,13,4,3,0
5110,W,5,9,8,6,6,7,10,2,3,7,9,8,8,11,1,8,0
5111,K,8,13,8,7,4,9,7,3,7,9,3,6,5,8,4,8,1
5112,D,5,9,7,8,7,6,7,6,7,7,6,9,5,5,7,4,1
5113,P,0,0,1,0,0,5,10,6,1,9,6,5,1,9,2,8,0
5114,C,2,2,3,3,2,6,8,7,7,8,7,13,1,9,4,10,1
5115,Y,3,7,5,4,1,8,11,2,2,5,12,8,1,11,0,8,0
5116,J,2,5,3,3,1,9,6,3,6,12,4,9,1,6,1,7,1
5117,C,6,11,8,9,6,7,7,8,6,6,6,13,6,8,5,7,1
5118,Q,5,9,5,10,6,8,6,7,5,9,6,9,3,8,6,8,0
5119,D,3,5,5,4,3,9,6,4,7,9,4,6,2,8,3,8,1
5120,I,5,12,4,6,2,11,5,3,6,12,3,7,2,9,4,11,1
5121,G,4,7,5,5,3,5,8,5,5,9,9,8,2,8,4,9,1
5122,M,6,9,8,7,8,7,7,5,5,6,7,8,9,7,3,7,1
5123,A,4,9,6,6,2,8,3,3,3,7,2,8,3,6,3,8,1
5124,I,2,8,2,6,2,7,7,0,7,7,6,8,0,8,3,8,1
5125,G,6,7,8,6,7,7,8,5,3,7,7,8,9,10,9,7,1
5126,Q,4,7,5,9,5,9,7,7,3,5,7,10,3,8,7,10,0
5127,D,4,8,4,6,4,6,7,9,7,7,7,6,2,8,3,8,1
5128,D,3,8,5,6,7,10,8,4,5,7,6,6,4,7,7,4,1
